repository,sha,author_login,author_name,commit_message,commit_date,files_changed,additions,deletions,total_changes,source_files_changed,test_files_changed,doc_files_changed,config_files_changed,message_length,message_word_count,is_merge_commit,hours_since_previous_commit,quality_label,selection_reason,candidate_score,changed_filenames,file_statuses,file_summary,patch_summary,api_files_count,patch_available_count,lockfile_count,generated_file_count,candidate_reasons,combined_text
tiangolo/sqlmodel,71da0f5cef9c0dd6528889f7b0436f390e9697e5,github-actions[bot],github-actions[bot],"📝 Update release notes

[skip ci]",2026-04-07 08:20:41+00:00,1,1,0,1,0,0,1,0,33,6,False,41.01888888888889,UNCERTAIN,,,,,,,,,,,,"📝 Update release notes

[skip ci]   "
encode/httpx,544038155382473ce87b17ef2238c96e48dee700,lovelydinosaur,Tom Christie,Update CHANGELOG.md (#3374),2024-10-28 16:23:45+00:00,1,1,0,1,0,0,1,0,27,3,False,0.0627777777777777,UNCERTAIN,,,,,,,,,,,,Update CHANGELOG.md (#3374)   
psf/requests,9c72a41bec8597f948c9d8caa5dc3f12273b3303,dependabot[bot],dependabot[bot],"Bump github/codeql-action from 4.33.0 to 4.34.1

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 4.33.0 to 4.34.1.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/b1bff81932f5cdfc8695c7752dcee935dcd061c8...38697555549f1db7851b81482ff19f1fa5c4fedc)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-version: 4.34.1
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",2026-03-23 17:26:06+00:00,1,3,3,6,0,0,0,1,665,34,False,167.7877777777778,USEFUL,,,,,,,,,,,,"Bump github/codeql-action from 4.33.0 to 4.34.1

Bumps [github/codeql-action](https://github.com/github/codeql-action) from 4.33.0 to 4.34.1.
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/b1bff81932f5cdfc8695c7752dcee935dcd061c8...38697555549f1db7851b81482ff19f1fa5c4fedc)

---
updated-dependencies:
- dependency-name: github/codeql-action
  dependency-version: 4.34.1
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>   "
pallets/flask,53b8f08218796d95764c5252bccd8a50a173a6fb,davidism,David Lord,push preserved contexts in correct order,2025-08-18 16:41:03+00:00,3,15,23,38,2,0,1,0,40,6,False,1603.8822222222225,USEFUL,,,,,,,,,,,,push preserved contexts in correct order   
psf/requests,b336cb2bc616a63a93c6470c558fc1f576b77f90,dependabot[bot],dependabot[bot],"Bump actions/checkout from 4.2.0 to 5.0.0

Bumps [actions/checkout](https://github.com/actions/checkout) from 4.2.0 to 5.0.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v4.2.0...08c6903cd8c0fde910a37f88322edcfb5dd907a8)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-version: 5.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",2025-08-11 22:15:22+00:00,4,6,6,12,0,0,0,4,598,34,False,339.2325,USEFUL,,,,,,,,,,,,"Bump actions/checkout from 4.2.0 to 5.0.0

Bumps [actions/checkout](https://github.com/actions/checkout) from 4.2.0 to 5.0.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v4.2.0...08c6903cd8c0fde910a37f88322edcfb5dd907a8)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-version: 5.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>   "
psf/requests,6716d7c9f29df636643fa2489f98890216525cb0,tswast,Tim Sweña,remove links,2025-06-01 14:03:51+00:00,2,12,17,29,0,0,2,0,12,2,False,261.92944444444447,UNCERTAIN,,,,,,,,,,,,remove links   
pallets/flask,fe3b215d3ade4db68262dae1a3cdc464a1fc524f,marcows,Markus Heidelberg,"Increase required flit_core version to 3.11

Needed since Flask 3.1.1 after having set the ""license"" keyword to an
SPDX license expression. Avoids this possible build error:

  flit_core.config.ConfigError: license field should be <class 'dict'>, not <class 'str'>

Fixes: 0109e496f (""use uv"").",2025-12-17 14:44:15+00:00,1,1,1,2,0,0,0,1,294,40,False,,USEFUL,,,,,,,,,,,,"Increase required flit_core version to 3.11

Needed since Flask 3.1.1 after having set the ""license"" keyword to an
SPDX license expression. Avoids this possible build error:

  flit_core.config.ConfigError: license field should be <class 'dict'>, not <class 'str'>

Fixes: 0109e496f (""use uv"").   "
scikit-learn/scikit-learn,2fd6fa45c2fc181233a75731aceb1def654743c3,jeremiedbb,Jérémie du Boisberranger,MNT Fix welcome comment (again) (#34241),2026-06-10 15:24:36+00:00,1,4,1,5,0,0,0,1,40,6,False,23.389166666666668,USEFUL,,,,,,,,,,,,MNT Fix welcome comment (again) (#34241)   
django/django,719386e876073ed7f3a0a5abdb40058e7a4402a4,sarahboyce,Sarah Boyce,Added stub release notes for 6.2.,2026-05-13 15:45:07+00:00,3,271,3,274,0,0,3,0,33,6,False,0.1091666666666666,USEFUL,,,,,,,,,,,,Added stub release notes for 6.2.   
psf/requests,a2ce3d8ace060b0c8446bc956e3853806dd4e3bb,nateprewitt,Nate Prewitt,Remove harden runner from publish workflow (#7207),2026-02-13 22:48:20+00:00,1,0,15,15,0,0,0,1,50,7,False,3.2891666666666666,USEFUL,,,,,,,,,,,,Remove harden runner from publish workflow (#7207)   
